yr,Nabund,SE_Nabund,lowerCI_Nabund,upperCI_Nabund,n_genetic_samples,BestNe,lowerCI_BestNe,upperCI_BestNe,type_BestNe,BestNe_over_Nc
1995,532335.9188,127853.3158,325409.904,823350.9656,50,526,136,Inf,LD_Ne,0.001
1996,4109779.837,936240.1843,2578511.841,6227231.414,50,615,380,1621,combo_Ne,0.0001
1997,745401.8245,169382.8436,468233.6195,1128372.784,50,829,488,2734,combo_Ne,0.0011
1998,877850.2124,273538.4492,461512.9468,1521993.494,50,1903,893,Inf,combo_Ne,0.0022
1999,1272103.804,288439.8473,799919.8928,1924091.104,44,1242,583,Inf,combo_Ne,0.001
2000,3453329.259,864294.1512,2066498.406,5430689.992,NA,NA,NA,NA,NA,NA
2001,1722296.097,367769.8243,1113491.596,2547794.234,NA,NA,NA,NA,NA,NA
2002,944698.7298,204755.3265,606662.8864,1405083.594,50,1302,542,Inf,LD_Ne,0.0014
2003,1097647.376,142681.6809,844580.3968,1402838.594,NA,Inf,NA,NA,mystery_Ne,NA
2004,726721.9528,138937.4788,492374.1467,1034785.982,50,1591,356,Inf,LD_Ne,0.0022
2005,433026.316,106870.2234,261034.1916,677100.0647,NA,Inf,NA,NA,mystery_Ne,NA
2006,299449.7139,40569.32262,227812.6854,386518.9775,50,1619,401,Inf,LD_Ne,0.0054
2007,292440.99,70907.99655,177902.9917,454028.1987,NA,Inf,NA,NA,mystery_Ne,NA
2008,150015.0763,40063.52396,86647.07888,242435.1205,50,1114,278,Inf,LD_Ne,0.0074
2009,254307.4802,59159.08167,157944.552,388441.1854,50,1833,875,Inf,combo_Ne,0.0072
2010,233246.6617,54936.41059,143982.1485,357993.1139,32,943,436,Inf,combo_Ne,0.004
2011,293315.8888,76119.86661,172136.3054,468266.027,50,1747,833,Inf,combo_Ne,0.006
2012,1192773.748,274379.6891,744858.3303,1814047.693,50,1586,831,17422,combo_Ne,0.0013
2013,359323.05,76431.52309,232710.7039,530805.6182,50,1508,790,16577,combo_Ne,0.0042
2014,216610.827,52122.07431,132285.5136,335276.5429,50,2156,1026,Inf,combo_Ne,0.01
2015,98507.88423,30030.37026,52532.26786,169013.5373,50,1068,643,3142,combo_Ne,0.0108
2016,22886.50517,6801.856673,12403.861,38800.95914,50,1900,941,Inf,combo_Ne,0.083
2017,35564.35472,8961.439199,21205.85098,56084.07185,50,1484,811,8790,combo_Ne,0.0417
2018,12648.11963,4923.711805,5644.748042,24610.9028,50,236,186,323,combo_Ne,0.0187
2019,3366.720259,1796.714888,1113.456214,7923.269788,50,951,572,2828,combo_Ne,0.2825
2020,4593.379103,3277.682329,1063.379185,13147.28647,50,530,340,1195,combo_Ne,0.1154
