method,pcrit,yr1,yr2,gen1,gen2,t,H.mean.size,L,F,Fprime,Ne,lCIp,uCIp,lCIj,uCIj,Sprime
Pk,0.05,2002,2004,1,3,2,45.1,3057,0.02173,-0.00056,-1794.2,1445,Inf,1514.7,Inf,44.8631673396142
Pk,0.02,2002,2004,1,3,2,45.3,7796,0.02149,-0.00069,-1441.8,8176.5,Inf,11512.7,Inf,45.0856627592426
JR,0.05,2002,2004,1,3,2,45.1,3057,0.02176,-0.00053,-1883.2,-1790,Inf,1391.4,Inf,44.8631673396142
JR,0.02,2002,2004,1,3,2,45.3,7796,0.02167,-0.00051,-1978.3,-1916.7,Inf,2687.9,Inf,45.0856627592426
Pk,0.05,2002,2006,1,5,4,45.8,3080,0.02112,-6e-04,-3305.9,5116,Inf,5230.8,Inf,46.0405156537753
Pk,0.02,2002,2006,1,5,4,46,7760,0.02128,-0.00043,-4667.8,9857.4,Inf,11171.3,Inf,46.0617227084293
JR,0.05,2002,2006,1,5,4,45.8,3080,0.02163,-0.00031,-6510.1,-6189,Inf,2014.3,Inf,45.5788514129444
JR,0.02,2002,2006,1,5,4,46,7760,0.0216,-0.00028,-7150.6,-6927.4,Inf,3144.3,Inf,45.7038391224863
Pk,0.05,2002,2008,1,7,6,45.1,3055,0.02255,0.00059,5054.9,1932.5,Inf,1737.3,Inf,45.5373406193078
Pk,0.02,2002,2008,1,7,6,45.3,7781,0.02176,-0.00027,-10990.9,8227.2,Inf,9094,Inf,45.3926463912846
JR,0.05,2002,2008,1,7,6,45.1,3055,0.02295,0.00065,4606.4,4378.3,4840.3,1569.6,Inf,44.8430493273543
JR,0.02,2002,2008,1,7,6,45.3,7781,0.02232,1e-04,29323.9,28409.6,30252.5,3050.7,Inf,45.004500450045
Pk,0.05,2004,2006,3,5,2,44.2,3073,0.02221,-0.00041,-2410.8,1343.5,Inf,1380.5,Inf,44.2086648983201
Pk,0.02,2004,2006,3,5,2,44.5,7724,0.02199,-5e-04,-2015.6,4566.7,Inf,5628,Inf,44.4642063139173
JR,0.05,2004,2006,3,5,2,44.2,3073,0.0231,0.00035,2843.4,2703,2987.4,574.6,Inf,43.956043956044
JR,0.02,2004,2006,3,5,2,44.5,7724,0.02268,7e-05,13585.8,13160.7,14017.6,956.6,Inf,44.2282176028306
Pk,0.05,2004,2008,3,7,4,43.5,3087,0.02262,-0.00045,-4475.7,2429.2,Inf,2538.4,Inf,43.3463372345037
Pk,0.02,2004,2008,3,7,4,43.8,7703,0.02232,-0.00058,-3433.5,9663.7,Inf,11340.4,Inf,43.6681222707424
JR,0.05,2004,2008,3,7,4,43.5,3087,0.0224,-7e-04,-2864.8,-2723.6,Inf,3412.8,Inf,43.2900432900433
JR,0.02,2004,2008,3,7,4,43.8,7703,0.02232,-0.00065,-3098.8,-3001.7,Inf,7671.4,Inf,43.535045711798
Pk,0.05,2006,2008,5,7,2,44.2,3108,0.02242,-0.00017,-6039.3,1060.1,Inf,1055.8,Inf,44.2673749446658
Pk,0.02,2006,2008,5,7,2,44.3,7719,0.02197,-0.00051,-1951.9,7528.4,Inf,9975.1,Inf,44.4839857651246
JR,0.05,2006,2008,5,7,2,44.2,3108,0.0227,-6e-05,-15544.6,-14781.2,Inf,811.1,Inf,43.9367311072056
JR,0.02,2006,2008,5,7,2,44.3,7719,0.02234,-0.00034,-2984.2,-2890.8,Inf,1730.8,Inf,44.0917107583774
