yr,Ne,lowerCI,upperCI,L,Sprime
2009,1019.0823163741,311.750376433624,-803.119571423026,1483,46.0829493087558
2010,7722.14748095102,449.630243144901,-508.891771500488,1426,30.4228780042592
2011,-1608.30690516518,717.70329373831,-379.236470833939,1483,30.6654400490647
2012,-771.325957528865,13903.0665940413,-375.253660536972,1498,47.3036896877956
2013,628.838123311226,315.945007712228,65100.0292107214,1500,46.4037122969838
2014,1614.42895881945,480.857894337273,-1189.35995963234,1502,46.3821892393321
2015,6734.18387478627,648.089712784855,-802.565598099024,1515,47.8697941598851
2016,1359.14289051467,461.05884213134,-1433.88719558297,1488,48.2392667631452
2017,412.030651217663,246.243500877675,1261.05483714701,1478,48.2858522452921
2018,53.1854003582951,45.5458690468487,63.9042288081755,1532,47.8697941598851
2019,-85.7800299801205,-94.1833143071439,-78.7534398494339,1488,46.7726847521048
2020,80.5756972416522,62.4126997356656,113.649279984581,1478,43.1965442764579
