method,pcrit,yr1,yr2,gen1,gen2,t,H.mean.size,L,F,Fprime,Ne,lCIp,uCIp,lCIj,uCIj,Sprime,Ne_MaxTempAdjusted,lowerCI_MaxTempAdjusted,upperCI_MaxTempAdjusted
JR,0.02,1995,1996,1,2,1,43.2,2258,0.02371,0.00045,1111.8,1047.9,1177.6,223.1,Inf,42.9922613929493,307.906800306429,184.649178722338,926.100272576152
JR,0.02,1995,1997,1,3,2,40.4,2209,0.02621,0.00128,782.3,736.8,829.1,297.9,Inf,40.1123144805455,NA,NA,NA
JR,0.02,1995,1998,1,4,3,43.9,2269,0.02618,0.00327,458.5,432.2,485.6,280.8,1249.8,43.6490615451768,NA,NA,NA
JR,0.02,1995,1999,1,5,4,38.1,2221,0.02666,0.00027,7527.5,7091.2,7976.6,838.3,Inf,37.8931413414172,NA,NA,NA
JR,0.02,1996,1997,2,3,1,41.5,2222,0.02338,Inf,Inf,Inf,Inf,697.6,Inf,41.2711514651259,1601.96080001922,517.253758893631,Inf
JR,0.02,1996,1998,2,4,2,45.2,2303,0.02255,0.00028,3513.8,3313.7,3719.6,481.8,Inf,44.9034575662326,NA,NA,NA
JR,0.02,1996,1999,2,5,3,39.2,2241,0.0253,Inf,Inf,Inf,Inf,913.5,Inf,38.9105058365759,NA,NA,NA
JR,0.02,1997,1998,3,4,1,42.1,2206,0.02378,Inf,Inf,Inf,Inf,336.8,Inf,41.8410041841004,Inf,1420.10723312568,Inf
JR,0.02,1997,1999,3,5,2,36.8,2206,0.02719,Inf,Inf,Inf,Inf,548.7,Inf,36.5497076023392,NA,NA,NA
JR,0.02,1998,1999,4,5,1,39.7,2221,0.02631,0.00093,538.5,507.3,570.6,162.1,Inf,39.4011032308905,Inf,511.271312774868,Inf
