yr,n.samples,n.loci,w.H.mean,n.IndAlleles,r2,Ne,df,Myrsq,Mydf,var(rsq),lowR,hiR,lowNe,hiNe
1995,50,4773,38.1,1244702,0.028541,525.9,2140,0.027588012,31874,4.78E-08,0.027159687,0.028016337,313.8,1622
1996,50,4695,39.4,1744841,0.027331,820.7,2405,0.026447824,48245,2.90E-08,0.026114064,0.026781584,450.5,4604.2
1997,50,2899,36.9,614635,0.029457,660.6,1588,0.028359745,38269,4.20E-08,0.027957908,0.028761582,367.7,3244
1998,50,7392,38.9,3944086,0.027352,1290.2,4356,0.026643582,75004,1.89E-08,0.026373919,0.026913245,631.3,-29485
1999,44,3177,32.4,964143,0.033789,1058.3,642,0.032162104,59625,3.47E-08,0.031797013,0.032527195,490.2,-6650.6
2002,50,13900,43,14036524,0.024666,1302.3,37584,0.024065481,76656,1.51E-08,0.02382455,0.024306412,670.8,22183.1
2004,50,12167,40.9,10965147,0.025965,1591.3,10393,0.025272129,92598,1.38E-08,0.025041925,0.025502333,758.1,-16078.8
2006,50,13056,41,12534572,0.025897,1619.1,13864,0.025205876,94250,1.35E-08,0.024978297,0.025433455,769,-15358.6
2008,50,13012,39,12496541,0.027383,1113.7,7596,0.026615092,65838,2.15E-08,0.026327577,0.026902607,568,28278.6
2009,50,12658,40.3,12249567,0.0264,1507.5,8809,0.025666409,88001,1.50E-08,0.025426585,0.025906233,723,-17818
2010,32,1926,20.6,558380,0.055807,604.7,319,0.051571646,32659,1.63E-07,0.050780638,0.052362653,248,-1390
2011,50,13830,41.3,14505106,0.025699,1269.9,16558,0.025076384,74785,1.68E-08,0.024822211,0.025330556,645,40087
2012,50,13475,40.4,13626267,0.026313,1284.2,6829,0.025640276,75506,1.74E-08,0.025381631,0.02589892,643,362082
2013,50,8872,39.2,5921285,0.027115,1282.3,4275,0.02643796,74867,1.87E-08,0.026170133,0.026705787,632,-42317
2014,50,15065,41,16589999,0.02587,1504.3,8913,0.025221587,87964,1.45E-08,0.02498587,0.025457304,729,-23590
2015,50,11741,43.3,10349112,0.024488,1087,49748,0.023947316,64528,1.78E-08,0.023686008,0.024208625,587,7351
2016,50,9105,41,5893575,0.025972,1272.9,3025,0.025261869,74477,1.71E-08,0.025005288,0.025518451,643,63040
2017,50,11303,43.3,9275589,0.02451,1031.5,61815,0.023963816,61427,1.87E-08,0.023695808,0.024231824,564,6045
2018,50,11783,39.7,9680487,0.026861,1156.4,4866,0.026128044,68162,2.00E-08,0.025850644,0.026405444,589,30720
2019,50,12085,40.5,10725994,0.026406,862.6,5083,0.025702884,51777,2.55E-08,0.025389783,0.026015985,477,4546
2020,50,4349,39.7,1307578,0.027839,273.2,1915,0.027059901,17997,8.14E-08,0.026500791,0.027619011,187,504
