yr,gen,n.loci,n.samples,w.H.mean,n.IndAlleles,r2,exp.r2,Ne,lCIp,uCIp,lCIj,uCIj,df
1995,1,4773,50,38.1,1244702,0.028541,0.02791,525.9,472.5,592.5,135.5,Inf,2140
1996,2,4695,50,39.4,1744841,0.027331,0.026925,820.7,718.5,956.1,163.1,Inf,2405
1997,3,2899,50,36.9,614635,0.029457,0.028954,660.6,546.7,833.1,123,Inf,1588
1998,4,7392,50,38.9,3944086,0.027352,0.027094,1290.2,1123.4,1514.3,228.7,Inf,4356
1999,5,3177,44,32.4,964143,0.033789,0.033474,1058.3,811,1518.7,74.7,Inf,642
2002,8,13900,50,43,14036524,0.024666,0.02441,1302.3,1215.3,1402.5,542.5,Inf,37584
2004,10,12167,50,40.9,10965147,0.025965,0.025756,1591.3,1441.2,1775.9,356.4,Inf,10393
2006,12,13056,50,41,12534572,0.025897,0.025691,1619.1,1473.5,1796.3,401.4,Inf,13864
2008,14,13012,50,39,12496541,0.027383,0.027084,1113.7,1038.9,1200.1,277.8,Inf,7596
2009,15,12658,50,40.3,12249567,0.0264,0.026179,1507.5,1376.9,1665.3,325.3,Inf,8809
2010,16,1926,32,20.6,558380,0.055807,0.055299,604.7,428.7,1019.8,28.1,Inf,319
2011,17,13830,50,41.3,14505106,0.025699,0.025437,1269.9,1185.1,1367.6,402.1,Inf,16558
2012,18,13475,50,40.4,13626267,0.026313,0.026053,1284.2,1193.1,1390.4,284.2,Inf,6829
2013,19,8872,50,39.2,5921285,0.027115,0.026855,1282.3,1145.6,1455.6,228.3,Inf,4275
2014,20,15065,50,41,16589999,0.02587,0.025649,1504.3,1393.2,1634.4,331.9,Inf,8913
2015,21,11741,50,43.3,10349112,0.024488,0.024182,1087,1016.7,1167.5,541.5,72685.6,49748
2016,22,9105,50,41,5893575,0.025972,0.025711,1272.9,1142.9,1435.8,203.4,Inf,3025
2017,23,11303,50,43.3,9275589,0.02451,0.024187,1031.5,964.6,1108.2,555.3,6465.2,61815
2018,24,11783,50,39.7,9680487,0.026861,0.026574,1156.4,1067.4,1261.4,238.1,Inf,4866
2019,25,12085,50,40.5,10725994,0.026406,0.026021,862.6,815.2,915.8,228.9,Inf,5083
2020,26,4349,50,39.7,1307578,0.027839,0.026628,273.2,258.6,289.4,106.8,Inf,1915
