file,pop,yr,n.loci
BY1995_NoOutliers_minMAF0.02_Dp5-50.geno,BY1995,1995,4773
BY1996_NoOutliers_minMAF0.02_Dp5-50.geno,BY1996,1996,4695
BY1997_NoOutliers_minMAF0.02_Dp5-50.geno,BY1997,1997,2899
BY1998_NoOutliers_minMAF0.02_Dp5-50.geno,BY1998,1998,7392
BY1999_NoOutliers_minMAF0.02_Dp5-50.geno,BY1999,1999,3177
BY2002_NoOutliers_minMAF0.02_Dp5-50.geno,BY2002,2002,13900
BY2004_NoOutliers_minMAF0.02_Dp5-50.geno,BY2004,2004,12167
BY2006_NoOutliers_minMAF0.02_Dp5-50.geno,BY2006,2006,13056
BY2008_NoOutliers_minMAF0.02_Dp5-50.geno,BY2008,2008,13012
BY2009_NoOutliers_minMAF0.02_Dp5-50.geno,BY2009,2009,12658
BY2010_NoOutliers_minMAF0.02_Dp5-50.geno,BY2010,2010,1926
BY2011_NoOutliers_minMAF0.02_Dp5-50.geno,BY2011,2011,13830
BY2012_NoOutliers_minMAF0.02_Dp5-50.geno,BY2012,2012,13475
BY2013_NoOutliers_minMAF0.02_Dp5-50.geno,BY2013,2013,8872
BY2014_NoOutliers_minMAF0.02_Dp5-50.geno,BY2014,2014,15065
BY2015_NoOutliers_minMAF0.02_Dp5-50.geno,BY2015,2015,11741
BY2016_NoOutliers_minMAF0.02_Dp5-50.geno,BY2016,2016,9105
BY2017_NoOutliers_minMAF0.02_Dp5-50.geno,BY2017,2017,11303
BY2018_NoOutliers_minMAF0.02_Dp5-50.geno,BY2018,2018,11783
BY2019_NoOutliers_minMAF0.02_Dp5-50.geno,BY2019,2019,12085
BY2020_NoOutliers_minMAF0.02_Dp5-50.geno,BY2020,2020,4349
