yr,Nabund,SE_Nabund,lowerCI_Nabund,upperCI_Nabund,n_genetic_samples,BestNe,lowerCI_BestNe,upperCI_BestNe,type_BestNe,BestNe_over_Nc,nloci_LDNe,LDNe,lowerCI_LDNe,upperCI_LDNe,nloci_tNe,tNe_MaxTempAdjusted,lowerCI_tNe_MaxTempAdjusted,upperCI_tNe_MaxTempAdjusted,LD_weight,temporal_weight
1995,532335.9188,127853.3158,325409.904,823350.9656,50,526,314,1622,LD_Ne,0.001,4773,525.9,313.8,1622,NA,NA,NA,NA,NA,NA
1996,4109779.837,936240.1843,2578511.841,6227231.414,50,615,380,1621,combo_Ne,0.0001,4695,820.7,450.5,4604.2,2258,308,185,926,0.8,0.2
1997,745401.8245,169382.8436,468233.6195,1128372.784,50,829,488,2734,combo_Ne,0.0011,2899,660.6,367.7,3244,2222,1602,517,Inf,0.65,0.35
1998,877850.2124,273538.4492,461512.9468,1521993.494,50,1903,893,Inf,combo_Ne,0.0022,7392,1290.2,631.3,Inf,2206,Inf,1420,Inf,0.81,0.19
1999,1272103.804,288439.8473,799919.8928,1924091.104,44,1242,583,Inf,combo_Ne,0.001,3177,1058.3,490.2,Inf,2221,Inf,511,Inf,0.85,0.15
2000,3453329.259,864294.1512,2066498.406,5430689.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,1722296.097,367769.8243,1113491.596,2547794.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,944698.7298,204755.3265,606662.8864,1405083.594,50,1302,671,22183,LD_Ne,0.0014,13900,1302.3,670.8,22183.1,NA,NA,NA,NA,NA,NA
2003,1097647.376,142681.6809,844580.3968,1402838.594,NA,Inf,NA,NA,mystery_Ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,726721.9528,138937.4788,492374.1467,1034785.982,50,1591,758,Inf,LD_Ne,0.0022,12167,1591.3,758.1,Inf,NA,NA,NA,NA,NA,NA
2005,433026.316,106870.2234,261034.1916,677100.0647,NA,Inf,NA,NA,mystery_Ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,299449.7139,40569.32262,227812.6854,386518.9775,50,1619,769,Inf,LD_Ne,0.0054,13056,1619.1,769,Inf,NA,NA,NA,NA,NA,NA
2007,292440.99,70907.99655,177902.9917,454028.1987,NA,Inf,NA,NA,mystery_Ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,150015.0763,40063.52396,86647.07888,242435.1205,50,1114,568,28279,LD_Ne,0.0074,13012,1113.7,568,28278.6,NA,NA,NA,NA,NA,NA
2009,254307.4802,59159.08167,157944.552,388441.1854,50,1454,723,Inf,combo_Ne,0.0057,12658,1507.5,723,Inf,1483,1019,312,Inf,0.92,0.08
2010,233246.6617,54936.41059,143982.1485,357993.1139,32,823,360,Inf,combo_Ne,0.0035,1926,604.7,248,Inf,1426,7722,450,Inf,0.71,0.29
2011,293315.8888,76119.86661,172136.3054,468266.027,50,1759,831,Inf,combo_Ne,0.006,13830,1269.9,645,40087,1483,Inf,718,Inf,0.84,0.16
2012,1192773.748,274379.6891,744858.3303,1814047.693,50,1928,907,Inf,combo_Ne,0.0016,13475,1284.2,643,362082,1498,Inf,13903,Inf,0.87,0.13
2013,359323.05,76431.52309,232710.7039,530805.6182,50,1077,590,6190,combo_Ne,0.003,8872,1282.3,632,Inf,1500,629,316,65100,0.82,0.18
2014,216610.827,52122.07431,132285.5136,335276.5429,50,1520,773,43965,combo_Ne,0.007,15065,1504.3,729,Inf,1502,1614,481,Inf,0.85,0.15
2015,98507.88423,30030.37026,52532.26786,169013.5373,50,1275,699,7250,combo_Ne,0.0129,11741,1087,587,7351,1515,6734,648,Inf,0.82,0.18
2016,22886.50517,6801.856673,12403.861,38800.95914,50,1287,687,10213,combo_Ne,0.0562,9105,1272.9,643,63040,1488,1359,461,Inf,0.83,0.17
2017,35564.35472,8961.439199,21205.85098,56084.07185,50,784,483,2087,combo_Ne,0.022,11303,1031.5,564,6045,1478,412,246,1261,0.79,0.21
2018,12648.11963,4923.711805,5644.748042,24610.9028,50,145,117,193,combo_Ne,0.0115,11783,1156.4,589,30720,1532,53,46,64,0.66,0.34
2019,3366.720259,1796.714888,1113.456214,7923.269788,50,Inf,3970,Inf,combo_Ne,NA,12085,862.6,477,4546,1488,Inf,Inf,Inf,0.89,0.11
2020,4593.379103,3277.682329,1063.379185,13147.28647,50,170,131,242,combo_Ne,0.037,4349,273.2,187,504,1478,81,62,114,0.75,0.25
