CalendarYear,Type,Nabund,NabundSE,Lower95CI,Upper95CI,
2002,DB,933982.0486,225097.2965,569928.6784,1446558.55,
2003,DB,1167662.361,165503.8069,876897.1277,1524219.086,
2004,DB,763619.1309,161572.6183,495713.6682,1125906.262,
2005,DB,329721.621,101264.1253,174993.478,567711.3386,
2006,DB,301735.0637,45389.14775,222555.6644,400032.3287,
2007,DB,375069.5278,124450.8266,188946.3353,670694.1314,
2008,DB,207930.4608,82196.36739,91630.62495,408072.3951,
2009,DB,217409.3517,72908.00791,108706.9387,390854.5589,
2010,DB,278254.6485,90567.50946,142058.8979,492816.054,
2011,DB,232899.4204,83946.62333,110447.5784,434643.9643,
2012,DB,1105082.2,388558.531,533911.9068,2035617.847,
2013,DB,316805.6828,93219.1933,172774.313,534619.1034,
2014,DB,250095.1683,80597.19457,128553.3423,440773.0457,
2015,DB,162446.2851,74258.12563,62907.88903,346977.7438,
2016,DB,21730.14582,8900.899836,9292.868041,43512.51035,
2017,DB,30887.72704,9560.984313,16309.47576,53381.9797,
2018,DB,5840.194275,2969.354392,2033.97038,13324.62238,
2019,DB,3217.685484,3641.979662,359.3232583,12631.49699,
2020,DB,2466.013979,2546.66005,322.9880187,9111.175147,
2021,DB,0,0,NA,NA,
2022,DB,21808.89466,7034.475157,11203.41979,38453.18279,
1991,MB_winter,914203.3348,255233.7079,514689.1313,1506412.268,use these
1992,MB_winter,786574.8792,226692.9981,434482.2566,1314786.587,use these
1993,MB_winter,448785.1603,111722.843,269312.4846,704217.4035,use these
1994,MB_winter,3259370.29,787552.7723,1986320.14,5053299.036,use these
1995,MB_winter,532335.9188,127853.3158,325409.904,823350.9656,use these
1996,MB_winter,4109779.837,936240.1843,2578511.841,6227231.414,use these
1997,MB_winter,745401.8245,169382.8436,468233.6195,1128372.784,use these
1998,MB_winter,877850.2124,273538.4492,461512.9468,1521993.494,use these
1999,MB_winter,1272103.804,288439.8473,799919.8928,1924091.104,use these
2000,MB_winter,3453329.259,864294.1512,2066498.406,5430689.992,use these
2001,MB_winter,1722296.097,367769.8243,1113491.596,2547794.234,use these
2002,MB_winter,944698.7298,204755.3265,606662.8864,1405083.594,use these
2003,MB_winter,1097647.376,142681.6809,844580.3968,1402838.594,use these
2004,MB_winter,726721.9528,138937.4788,492374.1467,1034785.982,use these
2005,MB_winter,433026.316,106870.2234,261034.1916,677100.0647,use these
2006,MB_winter,299449.7139,40569.32262,227812.6854,386518.9775,use these
2007,MB_winter,292440.99,70907.99655,177902.9917,454028.1987,use these
2008,MB_winter,150015.0763,40063.52396,86647.07888,242435.1205,use these
2009,MB_winter,254307.4802,59159.08167,157944.552,388441.1854,use these
2010,MB_winter,233246.6617,54936.41059,143982.1485,357993.1139,use these
2011,MB_winter,293315.8888,76119.86661,172136.3054,468266.027,use these
2012,MB_winter,1192773.748,274379.6891,744858.3303,1814047.693,use these
2013,MB_winter,359323.05,76431.52309,232710.7039,530805.6182,use these
2014,MB_winter,216610.827,52122.07431,132285.5136,335276.5429,use these
2015,MB_winter,98507.88423,30030.37026,52532.26786,169013.5373,use these
2016,MB_winter,22886.50517,6801.856673,12403.861,38800.95914,use these
2017,MB_winter,35564.35472,8961.439199,21205.85098,56084.07185,use these
2018,MB_winter,12648.11963,4923.711805,5644.748042,24610.9028,use these
2019,MB_winter,3366.720259,1796.714888,1113.456214,7923.269788,use these
2020,MB_winter,4593.379103,3277.682329,1063.379185,13147.28647,use these
1991,MB_fall,8050585.361,1686956.418,5248608.876,11829001.78,
1992,MB_fall,1049867.16,391128.4702,485336.0337,1994256.706,
1993,MB_fall,11511196.14,3722993.926,5902508.093,20323482.85,
1994,MB_fall,643479.8622,189693.7472,350525.6895,1086823.883,
1995,MB_fall,10875132.57,1927320.823,7586331.463,15114954.77,
1996,MB_fall,775718.0898,183982.1914,477189.2752,1193848.76,
1997,MB_fall,4537800.676,1479889.028,2313576.981,8044729.666,
1998,MB_fall,1961497.102,503809.5592,1157621.549,3117906.425,
1999,MB_fall,13927508.56,3742007.542,8017015.876,22566455.75,
2000,MB_fall,4345955.035,1212491.674,2447739.772,7158994.912,
2001,MB_fall,10981226.68,2675258.28,6664107.94,17081252.61,
2002,MB_fall,2374216.848,638538.8021,1365879.744,3848564.844,
2003,MB_fall,3563411.393,914791.9058,2103610.6,5663024.347,
2004,MB_fall,1755502.16,554901.6175,914203.6466,3064790.509,
2005,MB_fall,416709.7006,104721.9555,248822.2366,656419.4097,
2006,MB_fall,392976.4208,123101.5329,205879.1995,683073.5373,
2007,MB_fall,249068.7954,94976.40899,113033.1485,479150.589,
2008,MB_fall,383656.3052,129380.0897,191072.2054,691687.2661,
2009,MB_fall,340239.2891,111397.28,172999.7088,604364.4117,
2010,MB_fall,406803.6106,152396.993,187240.6192,775059.3469,
2011,MB_fall,1754350.31,558482.2279,909274.3941,3073376.636,
2012,MB_fall,707255.0122,218818.3289,373565.4733,1222037.816,
2013,MB_fall,260868.4682,76838.13364,142177.988,440431.0146,
2014,MB_fall,159865.3373,72881.81313,62066.85742,340909.6943,
2015,MB_fall,45549.28242,22852.90621,16084.17131,103052.0845,
2016,MB_fall,93660.68322,43586.31392,35654.78669,202237.6221,
2017,MB_fall,13802.01607,5916.672372,5671.417448,28374.40948,
2018,MB_fall,5049.57675,3770.303072,1097.603168,14915.48474,
2019,MB_fall,6511.597262,6141.383321,991.9923012,22621.14075,
