StationID,Agency,Source,Longitude,Latitude
340,CDFW,NA,-122.26456,38.10017
405,CDFW,NA,-122.14864,38.0398
411,CDFW,NA,-122.07987,38.05076
412,CDFW,NA,-122.06007,38.06462
413,CDFW,NA,-122.0473,38.06595
418,CDFW,NA,-122.09666,38.06617
501,CDFW,NA,-122.02579,38.07293
502,CDFW,NA,-122.00397,38.05997
503,CDFW,NA,-121.9832,38.06022
504,CDFW,NA,-121.98776,38.0532
505,CDFW,NA,-121.95597,38.05713
507,CDFW,NA,-121.939,38.05228
508,CDFW,NA,-121.91731,38.04674
510,CDFW,NA,-121.88783,38.04888
511,CDFW,NA,-121.88,38.0513
512,CDFW,NA,-121.87722,38.05638
513,CDFW,NA,-121.86799,38.0587
515,CDFW,NA,-122.01472,38.092
516,CDFW,NA,-121.99408,38.07867
517,CDFW,NA,-121.97938,38.07022
518,CDFW,NA,-121.96802,38.06875
519,CDFW,NA,-121.95663,38.07352
520,CDFW,NA,-121.86633,38.0325
602,CDFW,NA,-122.0439,38.11534
605,CDFW,NA,-122.05738,38.14853
606,CDFW,NA,-122.02557,38.16996
608,CDFW,NA,-121.88332,38.0887
609,CDFW,NA,-121.93792,38.16714
610,CDFW,NA,-121.88916,38.12039
699,CDFW,NA,-121.88916,38.12039
701,CDFW,NA,-121.83475,38.06505
703,CDFW,NA,-121.79711,38.04779
704,CDFW,NA,-121.78184,38.06851
705,CDFW,NA,-121.70881,38.09618
706,CDFW,NA,-121.75057,38.08564
707,CDFW,NA,-121.70774,38.11408
711,CDFW,NA,-121.66475,38.17755
712,CDFW,NA,-121.64015,38.19091
713,CDFW,NA,-121.66045,38.20675
715,CDFW,NA,-121.67431,38.22434
716,CDFW,NA,-121.68406,38.23842
719,CDFW,NA,-121.64748,38.33358
721,CDFW,NA,-121.703,38.26836
723,CDFW,NA,-121.67255,38.23803
795,CDFW,NA,-121.58465,38.53762
797,CDFW,NA,-121.61561,38.40468
799,CDFW,NA,-121.61561,38.40468
801,CDFW,NA,-121.844,38.04369
802,CDFW,NA,-121.83124,38.03428
804,CDFW,NA,-121.79425,38.01735
809,CDFW,NA,-121.69139,38.05289
812,CDFW,NA,-121.64022,38.09012
815,CDFW,NA,-121.5705,38.08374
902,CDFW,NA,-121.58245,38.01988
906,CDFW,NA,-121.50883,38.05125
920,CDFW,NA,-121.50445,38.14155
922,CDFW,NA,-121.47898,38.20454
18-02-SBM02,USFWS,USFWS_EDSM,-122.03767,38.06495
18-02-SBM04,USFWS,USFWS_EDSM,-121.97063,38.06597
18-03-HB01,USFWS,USFWS_EDSM,-121.89447,38.04771
18-04-SBM02,USFWS,USFWS_EDSM,-122.05582,38.11278
18-04-SBM05,USFWS,USFWS_EDSM,-122.04041,38.08215
18-06-LSR01,USFWS,USFWS_EDSM,-121.87256,38.05824
18-06-SBM01,USFWS,USFWS_EDSM,-122.00065,38.06205
18-06-SBM02,USFWS,USFWS_EDSM,-122.06793,38.09994
18-07-HB01,USFWS,USFWS_EDSM,-121.96093,38.05581
18-07-SBM01,USFWS,USFWS_EDSM,-122.04606,38.06047
18-07-SBM03,USFWS,USFWS_EDSM,-122.01783,38.07106
18-08-LSR01,USFWS,USFWS_EDSM,-121.84983,38.0679
18-08-LSR02,USFWS,USFWS_EDSM,-121.86936,38.05384
18-08-SBM01,USFWS,USFWS_EDSM,-122.05696,38.09492
18-08-SM01,USFWS,USFWS_EDSM,-122.04296,38.16527
18-09-LSR01,USFWS,USFWS_EDSM,-121.87784,38.05646
18-09-SBM01,USFWS,USFWS_EDSM,-121.98428,38.07158
18-09-SBM02,USFWS,USFWS_EDSM,-121.9981,38.05988
18-10-LSR06,USFWS,USFWS_EDSM,-121.86378,38.06498
18-11-LSR01,USFWS,USFWS_EDSM,-121.77203,38.07601
18-11-LSR02,USFWS,USFWS_EDSM,-121.83366,38.06779
18-11-SM01,USFWS,USFWS_EDSM,-121.96327,38.17441
18-12-SM01,USFWS,USFWS_EDSM,-122.00949,38.17691
18-13-HB01,USFWS,USFWS_EDSM,-121.8988,38.04826
18-14-SM01,USFWS,USFWS_EDSM,-121.94748,38.1736
18-15-LSR02,USFWS,USFWS_EDSM,-121.7903,38.06176
18-18-SBM02,USFWS,USFWS_EDSM,-121.99911,38.08386
19-49-LSSC01,USFWS,USFWS_EDSM,-121.63684,38.35765
19-49-LSSC02,USFWS,USFWS_EDSM,-121.64879,38.33051
19-49-LSSC03,USFWS,USFWS_EDSM,-121.58771,38.46571
19-49-SBM02,USFWS,USFWS_EDSM,-121.97254,38.0735
19-49-SM01,USFWS,USFWS_EDSM,-121.90067,38.12307
19-50-LSSC02,USFWS,USFWS_EDSM,-121.62987,38.37447
19-50-LSSC03,USFWS,USFWS_EDSM,-121.651,38.31564
19-50-LSSC05,USFWS,USFWS_EDSM,-121.63356,38.36716
19-50-SM03,USFWS,USFWS_EDSM,-122.04742,38.16159
19-51-HB01,USFWS,USFWS_EDSM,-121.95945,38.04912
19-51-LSR03,USFWS,USFWS_EDSM,-121.77107,38.07526
19-51-SBW02,USFWS,USFWS_EDSM,-122.11063,38.06351
19-52-LSSC02,USFWS,USFWS_EDSM,-121.59103,38.45659
19-52-LSSC03,USFWS,USFWS_EDSM,-121.6257,38.3834
19-53-GB01,USFWS,USFWS_EDSM,-122.05795,38.1086
19-53-LSSC01,USFWS,USFWS_EDSM,-121.65853,38.28807
19-53-LSSC02,USFWS,USFWS_EDSM,-121.61171,38.4142
19-53-LSSC04,USFWS,USFWS_EDSM,-121.66831,38.25268
19-53-SBM03,USFWS,USFWS_EDSM,-122.00775,38.09101
19-53-SBW01,USFWS,USFWS_EDSM,-122.11123,38.06484
20-03-HB01,USFWS,USFWS_EDSM,-121.94953,38.05721
20-03-LSSC02,USFWS,USFWS_EDSM,-121.61233,38.41231
20-04-HB01,USFWS,USFWS_EDSM,-121.96824,38.05228
20-04-LSSC02,USFWS,USFWS_EDSM,-121.61096,38.41383
20-07-LSSC03,USFWS,USFWS_EDSM,-121.64092,38.35041
20-07-SBM01,USFWS,USFWS_EDSM,-121.97401,38.07007
20-08-CF01,USFWS,USFWS_EDSM,-121.87357,38.04788
20-13-HB01,USFWS,USFWS_EDSM,-121.95479,38.0616
20-14-LSR01,USFWS,USFWS_EDSM,-121.81925,38.06597
20-14-LSSC05,USFWS,USFWS_EDSM,-121.60382,38.43035
AM001S,USFWS,USFWS_DJFMP_BeachSeine,-121.50573,38.59936
CL000M,USFWS,USFWS_DJFMP_BeachSeine,-121.50381,38.02665
FR002M,USFWS,USFWS_DJFMP_BeachSeine,-121.66082,38.05586
OR001M,USFWS,USFWS_DJFMP_BeachSeine,-121.57463,38.083
SB018M,USFWS,USFWS_Chipps,-121.90992,38.04598
SB018N,USFWS,USFWS_Chipps,-121.90992,38.04797
SB018S,USFWS,USFWS_Chipps,-121.90992,38.04283
SJ011M,USFWS,USFWS_Chipps,-121.69567,38.04884
SR012E,USFWS,USFWS_Chipps,-121.68655,38.13272
SRO14W,USFWS,USFWS_Chipps,-121.66266,38.18652
TC002M,USFWS,USFWS_DJFMP_BeachSeine,-121.4678,37.98577
18-05-LSR02,USFWS,USFWS-EDSM,-121.77008,38.07581
18-05-SBM02,USFWS,USFWS-EDSM,-122.01930,38.06593
18-13-LSR01,USFWS,USFWS-EDSM,-121.84658,38.07077
18-17-LSR01,USFWS,USFWS-EDSM,-121.83180,38.07028
18-18-HB01,USFWS,USFWS-EDSM,-121.92369,38.04495
18-02-CS01,USFWS,USFWS-EDSM,-121.64794,38.33243
18-03-SSC02,USFWS,USFWS-EDSM,-121.62243,38.38922
18-03-SM02,USFWS,USFWS-EDSM,-122.05863,38.13345
18-05-SBM02,USFWS,USFWS-EDSM,-122.01930,38.06593
18-07-SBM02,USFWS,USFWS-EDSM,-122.05827,38.09458
18-18-SM01,USFWS,USFWS-EDSM,-121.96935,38.18580
fccl001,FCCL,UCD-FCCL,-121.78002,38.07188
fccl002,FCCL,UCD-FCCL,-121.74603,38.0871
fccl003,FCCL,UCD-FCCL,-121.7756,38.06667
fccl004,FCCL,UCD-FCCL,-121.80528,38.06269
fccl005,FCCL,UCD-FCCL,-121.81736,38.06625
fccl006,FCCL,UCD-FCCL,-121.78347,38.07
fccl007,FCCL,UCD-FCCL,-121.64545,38.34236
fccl008,FCCL,UCD-FCCL,-121.63862,38.35436
fccl009,FCCL,UCD-FCCL,-121.64898,38.3325
fccl010,FCCL,UCD-FCCL,-121.64898,38.34894
fccl011,FCCL,UCD-FCCL,-121.648,38.33472
fccl012,FCCL,UCD-FCCL,-121.77611,38.06828
fccl013,FCCL,UCD-FCCL,-121.46803,38.07338
fccl014,FCCL,UCD-FCCL,-121.75058,38.08714
fccl015,FCCL,UCD-FCCL,-121.63986,38.35386
fccl016,FCCL,UCD-FCCL,-121.52219,38.30264
fccl017,FCCL,UCD-FCCL,-121.68481,38.05553
fccl018,FCCL,UCD-FCCL,-121.63978,38.35342
fccl019,FCCL,UCD-FCCL,-121.75038,38.08719
fccl020,FCCL,UCD-FCCL,-121.51611,38.30023
fccl021,FCCL,UCD-FCCL,-121.67383,38.23197
fccl022,FCCL,UCD-FCCL,-121.63742,38.35833
fccl023,FCCL,UCD-FCCL,-121.6361,38.35708
fccl024,FCCL,UCD-FCCL,-121.64253,38.34775
fccl025,FCCL,UCD-FCCL,-121.64614,38.33597
fccl026,FCCL,UCD-FCCL,-121.70269,38.10719
fccl027,FCCL,UCD-FCCL,-121.73103,38.09858
fccl028,FCCL,UCD-FCCL,-121.7035,38.12075
fccl029,FCCL,UCD-FCCL,-121.65328,38.30117
fccl030,FCCL,UCD-FCCL,-121.75011,38.08719
fccl031,FCCL,UCD-FCCL,-121.74753,38.08833
fccl032,FCCL,UCD-FCCL,-121.74442,38.09011
fccl033,FCCL,UCD-FCCL,-121.73894,38.09292
fccl034,FCCL,UCD-FCCL,-121.71102,38.11264
fccl035,FCCL,UCD-FCCL,-121.705,38.11853
fccl036,FCCL,UCD-FCCL,-121.70292,38.12161
fccl037,FCCL,UCD-FCCL,-121.78308,38.06808
fccl038,FCCL,UCD-FCCL,-121.78308,38.06806
fccl039,FCCL,UCD-FCCL,-121.74936,38.07061
fccl040,FCCL,UCD-FCCL,-121.71568,38.11022
fccl041,FCCL,UCD-FCCL,-121.70694,38.11661
fccl042,FCCL,UCD-FCCL,-121.78353,38.06992
fccl043,FCCL,UCD-FCCL,-121.9314,38.04451
fccl044,FCCL,UCD-FCCL,-121.94767,38.04984
fccl045,FCCL,UCD-FCCL,-121.93197,38.05188
fccl046,FCCL,UCD-FCCL,-121.77861,38.0725
