StationID,Agency,Source,Longitude,Latitude,OldStationID
340,CDFW,NA,-122.26456,38.10017,340
405,CDFW,NA,-122.14864,38.0398,405
411,CDFW,NA,-122.07987,38.05076,411
412,CDFW,NA,-122.06007,38.06462,412
413,CDFW,NA,-122.0473,38.06595,413
418,CDFW,NA,-122.09666,38.06617,418
501,CDFW,NA,-122.02579,38.07293,501
502,CDFW,NA,-122.00397,38.05997,502
503,CDFW,NA,-121.9832,38.06022,503
504,CDFW,NA,-121.98776,38.0532,504
505,CDFW,NA,-121.95597,38.05713,505
507,CDFW,NA,-121.939,38.05228,507
508,CDFW,NA,-121.91731,38.04674,508
510,CDFW,NA,-121.88783,38.04888,510
511,CDFW,NA,-121.88,38.0513,511
512,CDFW,NA,-121.87722,38.05638,512
513,CDFW,NA,-121.86799,38.0587,513
515,CDFW,NA,-122.01472,38.092,515
516,CDFW,NA,-121.99408,38.07867,516
517,CDFW,NA,-121.97938,38.07022,517
518,CDFW,NA,-121.96802,38.06875,518
519,CDFW,NA,-121.95663,38.07352,519
520,CDFW,NA,-121.86633,38.0325,520
602,CDFW,NA,-122.0439,38.11534,602
605,CDFW,NA,-122.05738,38.14853,605
606,CDFW,NA,-122.02557,38.16996,606
608,CDFW,NA,-121.88332,38.0887,608
609,CDFW,NA,-121.93792,38.16714,609
610,CDFW,NA,-121.88916,38.12039,610
699,CDFW,NA,-121.88916,38.12039,699
701,CDFW,NA,-121.83475,38.06505,701
703,CDFW,NA,-121.79711,38.04779,703
704,CDFW,NA,-121.78184,38.06851,704
705,CDFW,NA,-121.70881,38.09618,705
706,CDFW,NA,-121.75057,38.08564,706
707,CDFW,NA,-121.70774,38.11408,707
711,CDFW,NA,-121.66475,38.17755,711
712,CDFW,NA,-121.64015,38.19091,712
713,CDFW,NA,-121.66045,38.20675,713
715,CDFW,NA,-121.67431,38.22434,715
716,CDFW,NA,-121.68406,38.23842,716
719,CDFW,NA,-121.64748,38.33358,719
721,CDFW,NA,-121.703,38.26836,721
723,CDFW,NA,-121.67255,38.23803,723
795,CDFW,NA,-121.58465,38.53762,795
797,CDFW,NA,-121.61561,38.40468,797
799,CDFW,NA,-121.61561,38.40468,799
801,CDFW,NA,-121.844,38.04369,801
802,CDFW,NA,-121.83124,38.03428,802
804,CDFW,NA,-121.79425,38.01735,804
809,CDFW,NA,-121.69139,38.05289,809
812,CDFW,NA,-121.64022,38.09012,812
815,CDFW,NA,-121.5705,38.08374,815
902,CDFW,NA,-121.58245,38.01988,902
906,CDFW,NA,-121.50883,38.05125,906
920,CDFW,NA,-121.50445,38.14155,920
922,CDFW,NA,-121.47898,38.20454,922
18-02-SBM02,USFWS,USFWS_EDSM,-122.03767,38.06495,18-02-SBM02
18-02-SBM04,USFWS,USFWS_EDSM,-121.97063,38.06597,18-02-SBM04
18-03-HB01,USFWS,USFWS_EDSM,-121.89447,38.04771,18-03-HB01
